id,title__en,description__en,icon,tags,props__url,props__scheme,props__osi_approved
cc-by-nc-nd-1.0,Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,,cc-by-nc-nd-icon,"all,data",https://creativecommons.org/licenses/by-nd-nc/1.0/,spdx,
cc-by-nc-nd-2.0,Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,,cc-by-nc-nd-icon,"all,data",https://creativecommons.org/licenses/by-nc-nd/2.0/,spdx,
cc-by-nc-nd-2.5,Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,,cc-by-nc-nd-icon,"all,data",https://creativecommons.org/licenses/by-nc-nd/2.5/,spdx,
cc-by-nc-nd-3.0,Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,,cc-by-nc-nd-icon,"all,data",https://creativecommons.org/licenses/by-nc-nd/3.0/,spdx,
cc-by-nc-nd-3.0-igo,Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO,,cc-by-nc-nd-icon,"all,data",https://creativecommons.org/licenses/by-nc-nd/3.0/igo/,spdx,
cc-by-nc-nd-4.0,Creative Commons Attribution Non Commercial No Derivatives 4.0 International,,cc-by-nc-nd-icon,"all,data",https://creativecommons.org/licenses/by-nc-nd/4.0/,spdx,
cc-by-nc-sa-1.0,Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,,cc-by-nc-sa-icon,"all,data",https://creativecommons.org/licenses/by-nc-sa/1.0/,spdx,
cc-by-nc-sa-2.0,Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,,cc-by-nc-sa-icon,"all,data",https://creativecommons.org/licenses/by-nc-sa/2.0/,spdx,
cc-by-nc-sa-2.5,Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,,cc-by-nc-sa-icon,"all,data",https://creativecommons.org/licenses/by-nc-sa/2.5/,spdx,
cc-by-nc-sa-3.0,Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,,cc-by-nc-sa-icon,"all,data",https://creativecommons.org/licenses/by-nc-sa/3.0/,spdx,
cc-by-nc-sa-4.0,Creative Commons Attribution Non Commercial Share Alike 4.0 International,,cc-by-nc-sa-icon,"all,data",https://creativecommons.org/licenses/by-nc-sa/4.0/,spdx,
cc-by-nd-1.0,Creative Commons Attribution No Derivatives 1.0 Generic,,cc-by-nd-icon,"all,data",https://creativecommons.org/licenses/by-nd/1.0/,spdx,
cc-by-nd-2.0,Creative Commons Attribution No Derivatives 2.0 Generic,,cc-by-nd-icon,"all,data",https://creativecommons.org/licenses/by-nd/2.0/,spdx,
cc-by-nd-2.5,Creative Commons Attribution No Derivatives 2.5 Generic,,cc-by-nd-icon,"all,data",https://creativecommons.org/licenses/by-nd/2.5/,spdx,
cc-by-nd-3.0,Creative Commons Attribution No Derivatives 3.0 Unported,,cc-by-nd-icon,"all,data",https://creativecommons.org/licenses/by-nd/3.0/,spdx,
cc-by-nd-4.0,Creative Commons Attribution No Derivatives 4.0 International,,cc-by-nd-icon,"all,data",https://creativecommons.org/licenses/by-nd/4.0/,spdx,
cc-by-sa-1.0,Creative Commons Attribution Share Alike 1.0 Generic,,cc-by-sa-icon,"all,data",https://creativecommons.org/licenses/by-sa/1.0/,spdx,
cc-by-sa-2.0,Creative Commons Attribution Share Alike 2.0 Generic,,cc-by-sa-icon,"all,data",https://creativecommons.org/licenses/by-sa/2.0/,spdx,
